	Taak		Termijn		Laatste onderhoud	Volgende onderhoud		Uitgevoerd door 	Opmerkingen + nodige aanpassingen aan onderhoudsplan	Laatste opmerking
	AFROLLER		T							
	Inktbak uitscheppen + verharde inktresten verwijderen aan inktmes + ductors  inwrijven met pasta									
	D11 | Black Front | Inktbak uitscheppen + inwrijven met pasta	Black Front	4	M	01/07/2025	01/11/2025	Week 44	Ploeg Koen		
	D11 | Black Back | Inktbak uitscheppen + inwrijven met pasta	Black Back	4	M	01/07/2025	01/11/2025	Week 44	Ploeg Koen	25/01	01.02.2024 | 00:45
	D12 | Cyan Front | Inktbak uitscheppen + inwrijven met pasta	Cyan Front	4	M	09/01/2026	09/05/2026	Week 19	Steven	Duktor ingewreven met pasta (01/12/2022).	01.12.2022 | 13:47
	D12 | Cyan Back | Inktbak uitscheppen + inwrijven met pasta	Cyan Back	4	M	01/07/2025	01/11/2025	Week 44	Ploeg Koen		
	D13 | Magenta Front | Inktbak uitscheppen + inwrijven met pasta	Magenta Front	4	M	29/11/2025	29/03/2026	Week 14			
	D13 | Magenta Back | Inktbak uitscheppen + inwrijven met pasta	Magenta Back	4	M	01/07/2025	01/11/2025	Week 44	Ploeg Koen		
	D14 | Yellow Front | Inktbak uitscheppen + inwrijven met pasta	Yellow Front	4	M	01/07/2025	01/11/2025	Week 44	Ploeg Koen	Opvangbakken onder inktbak volledig vol (alles aan het overlopen)!! 28-09-2018	
	D14 | Yellow Back | Inktbak uitscheppen + inwrijven met pasta	Yellow Back	4	M	01/07/2025	01/11/2025	Week 44	Ploeg Koen		
	olie en filters vervangen drukgroepen		1	J	17/02/2024	17/02/2025	Week 08	Steven	Filters  vervangen, olie bijgevuld! (17/02/2024).	02.03.2024 | 10:02
	vochtwerk circuleren ( 1007) + naspoelen		2	M	05/12/2025	05/02/2026	Week 06	Mustapha		
	reinigen voelers waterbakken 		14	D	06/01/2026	20/01/2026	Week 04	Steven		14.06.2021 | 06:41
	reinigen afdekkapjes motoren drukgroepen		6	M	02/02/2024	02/08/2024	Week 31		Ventilatoren uitgeblazen motoren vochtwerk (11/09/2019)	11.09.2019 | 08:37
	Rollen afstellen & indien nodig vervangen									
	D11 | Black Front | Rollen afstellen & indien nodig vervangen	Black Front	1	J	10/04/2024	10/04/2025	Week 15	Steven		26.02.2025 | 03:52
	D11 | Black Back | Rollen afstellen & indien nodig vervangen	Black Back	1	J	25/04/2024	25/04/2025	Week 17	Steven		26.02.2025 | 03:52
	D12 | Cyan Front | Rollen afstellen & indien nodig vervangen	Cyan Front	1	J	09/05/2025	09/05/2026	Week 19	Steven		26.02.2025 | 03:52
	D12 | Cyan Back | Rollen afstellen & indien nodig vervangen	Cyan Back	1	J	09/05/2025	09/05/2026	Week 19	Steven		26.02.2025 | 03:52
	D13 | Magenta Front | Rollen afstellen & indien nodig vervangen	Magenta Front	1	J	24/05/2024	24/05/2025	Week 21	Steven		26.02.2025 | 03:52
	D13 | Magenta Back | Rollen afstellen & indien nodig vervangen	Magenta Back	1	J	24/04/2024	24/04/2025	Week 17	Steven		26.02.2025 | 03:52
	D14 | Yellow Front | Rollen afstellen & indien nodig vervangen	Yellow Front	1	J	11/04/2024	11/04/2025	Week 15	Steven		26.02.2025 | 03:52
	D14 | Yellow Back | Rollen afstellen & indien nodig vervangen	Yellow Back	1	J	26/04/2024	26/04/2025	Week 17	Steven		26.02.2025 | 03:52
	herstellen van luchtlekken drukgroepen		2	M	15/01/2024	15/03/2024	Week 11	Steven		26.02.2025 | 03:52
	BOVENBOUW		T			???		Mustapha		
	opkuis bovenbouw - vouwer - uitblazen  - laatste ploeg vd week 		7	D	05/12/2025	12/12/2025	Week 50			
	reinigen silicone bakjes 		3	M	24/11/2025	24/02/2026	Week 09	Steven		23.01.2020 | 12:20
	reinigen papiergeleide rollen + koelwalsen 		4	M	09/02/2024	09/06/2024	Week 24	Mathy		
	reinigen papiercamera's bovenbouw		4	M	09/02/2024	09/06/2024	Week 24	Mathy		06.07.2020 | 17:44
	reinigen van eltex - uitblazen en alle lijm-inkt resten verwijderen staalborstel		1	M	20/01/2024	20/02/2024	Week 08	Mustapha		26.02.2025 | 03:52
	controle - onderhoud - vervangen  gele trekrollen positie 1 ( boven)		1	J	10/01/2025	10/01/2026	Week 02	Steven	1 Gelenkwelle (cardan) vervangen trekrol 3 (30/06/2022)	30.06.2022 | 07:52
	controle - onderhoud - vervangen  gele trekrollen positie 2 ( midden)		1	J	10/01/2026	10/01/2027	Week 03	Steven	Pompjes vervangen (21/04/2022).	21.04.2022 | 05:52
	controle - onderhoud - vervangen  gele trekrollen positie 3 ( onder)		1	J	22/04/2025	22/04/2026	Week 17	Steven	Nazicht lager (kant C80)!	05.10.2024 | 08:48
	cardans smeren gele trekrollen  - 		3	M	11/10/2025	11/01/2026	Week 03	Steven		
	uitblazen filters wentelstangen - trechter- vervangen filter		3	M	02/02/2024	02/05/2024	Week 18	Steven	Filter vervangen onderste trechter (19/07/2023).	19.07.2023 | 10:32
	smeren van smeernippels bovenbouw - skf bearing grease  LGMT 2/0,4		4	M	11/10/2025	11/02/2026	Week 07	Steven		
	reinigen van alle beschermingkapjes op de aandrijfmotoren 		4	M	02/02/2024	02/06/2024	Week 23	Steven		
	controle/vervangen trekwielen bovenbouw		6	M	02/02/2024	02/08/2024	Week 31	Steven		26.02.2025 | 03:52
	controle snijmessen - bovenbouw 		6	M	02/02/2024	02/08/2024	Week 31	Steven		26.02.2025 | 03:52
	silicone walsen vervangen		1	J	26/04/2025	26/04/2026	Week 18	Steven	Ander type siliconewalsen 06-02-2018	
	reinigen van aandrukrol  koelwalsinstallatie 		1	M	14/10/2025	14/11/2025	Week 46	Steven		21.11.2023 | 12:50
	reinigen stangen cr8 camera's !!!!  + camera's		3	M	02/02/2024	02/05/2024	Week 18	Mathy		
	VOUWER		T			???				
	grijperblokjes vervangen - afstellen 		3	J	12/03/2025	12/03/2028	Week 12	KBA		26.02.2025 | 03:52
	grijpers vervangen - afstellen		3	J	12/03/2025	12/03/2028	Week 12	KBA		26.02.2025 | 03:52
	vervangen dwarsperforatie - rubber draaien/vervangen		14	D	18/12/2025	01/01/2026	Week 01	Steven		
	lijmresten verwijderen na flockbanden -rolletjes + wieletjes kuisen		1	M	21/10/2025	21/11/2025	Week 47	Ploeg Steven		23.09.2025 | 09:09
	vervangen riemen positie 1&2&4		1	M	21/10/2025	21/11/2025	Week 47	Ploeg Steven	IRWS 	13.02.2024 | 12:16
	vervangen kwartslagriemen bovenste vouwer		2	M	11/10/2025	11/12/2025	Week 50	Steven		26.02.2025 | 03:53
	Vervangen kwartslagriemen onderste vouwer		2	M	11/10/2025	11/12/2025	Week 50	Steven		26.02.2025 | 03:53
	vervangen snijmes vouwer en rubber 		7	D	12/01/2026	19/01/2026	Week 04	Mustapha		23.09.2025 | 09:09
	draaien van snijrubber 		2	D	12/01/2026	14/01/2026	Week 03	Mustapha	Draadtap moeten indraaien (AZ) snijmes (bovenste bout)! 27/11/2025	27.11.2025 | 13:31
	reinigen vouwcilinder & vouwmessen		14	D	05/12/2025	19/12/2025	Week 51			26.02.2025 | 03:53
Laatste ploeg |	vouwer  -bovenbouw -  uitblazen ( luchtstang Dirk ) stofzuigen		7	D	18/02/2025	25/02/2025	Week 09	Ploeg Koen		16.12.2019 | 08:04
	vervangen groene vingers splitinrichting		10	M	12/03/2025	12/01/2026	Week 03	KBA		26.02.2025 | 03:53
	flockbanden vervangen		2	M	05/12/2025	05/02/2026	Week 06	Koen Vermeire		17.06.2021 | 08:21
	controle stockage riemen vouwapparaat		1	M	20/06/2022	20/07/2022	Week 30	Maarten		26.02.2025 | 03:52
	revisie vouwer door KBA		3	J	12/03/2025	12/03/2028	Week 12	KBA	incl nieuwe kwartslagrollen boven en onder	
	revisie NIETAPPARAAT  door KBA		3	J	27/10/2023	27/10/2026	Week 44	KBA	interventie bernd jung - nieuwe roulementen - springveren - inlaatmondstukhouders 	27.10.2023 | 12:12
	groene polymere toevoerleiding nietdraad vervangen 		1	J	04/12/2025	04/12/2026	Week 49	Steven	alle 3de drums	21.11.2023 | 12:48
	vervangen borstels bovenste vouwer		1	J	12/03/2025	12/03/2026	Week 11	KBA		
	vervangen borstels onderste vouwer		1	J	12/03/2025	12/03/2026	Week 11	KBA		
	smeren van smeernippels vouwapparaat     castrol pd-1		6	M	11/10/2025	11/04/2026	Week 15	Steven	cardans trekrollen vouwapparaat gesmeerd. 18-12-2017	
	controle bijvullen vetsmeringreservoirs vouwer castrol pd-1		2	M	26/06/2025	26/08/2025	Week 35	Steven	 	07.01.2021 | 07:08
	reinigen van alle beschermingkapjes op de aandrijfmotoren vouwer		6	M	23/07/2018	23/01/2019	Week 04			
	vervangen riemen vouwer		6	M	02/07/2025	02/01/2026	Week 01	Flexibelt	IRWS	13.02.2024 | 12:15
	reinigen chassis vouwapparaat		1	J	25/02/2017	25/02/2018	Week 09			
	olie en filter vervangen vouwapparaat --- Shell omala 100		6	M	18/03/2025	18/09/2025	Week 38	Kurt	Filter vervagen door KBA op  14/03/2025	20.03.2025 | 06:12
	olie bijvullen kwartslag boven -- Shell omala 100		1	J	10/01/2026	10/01/2027	Week 03	Steven		
	vervangen vouwkleppen 		6	M	05/12/2025	05/06/2026	Week 23	Steven		06.01.2025 | 07:08
	vervangen van tegenkleppen 		1	J	05/12/2025	05/12/2026	Week 49	Steven		
	vervangen van vouwmessen 		1	J	03/10/2025	03/10/2026	Week 40	Steven		
